time,x1,y1,v1,r1,x2,y2,v2,r2,x3,y3,v3,r3
1716558480.696757,0,0,0,0,0,0,0,0,0,0,0,0
1716558480.785760,0,0,0,0,0,0,0,0,0,0,0,0
1716558480.874915,0,0,0,0,0,0,0,0,0,0,0,0
1716558480.963861,0,0,0,0,0,0,0,0,0,0,0,0
1716558481.052868,0,0,0,0,0,0,0,0,0,0,0,0
1716558481.141929,0,0,0,0,0,0,0,0,0,0,0,0
1716558481.230659,0,0,0,0,0,0,0,0,0,0,0,0
1716558481.319696,0,0,0,0,0,0,0,0,0,0,0,0
1716558481.408744,0,0,0,0,0,0,0,0,0,0,0,0
1716558481.497692,0,0,0,0,0,0,0,0,0,0,0,0
1716558481.586730,0,0,0,0,0,0,0,0,0,0,0,0
1716558481.675866,0,0,0,0,0,0,0,0,0,0,0,0
1716558481.764546,0,0,0,0,0,0,0,0,0,0,0,0
1716558481.853783,0,0,0,0,0,0,0,0,0,0,0,0
1716558481.942764,0,0,0,0,0,0,0,0,0,0,0,0
1716558482.031817,0,0,0,0,0,0,0,0,0,0,0,0
1716558482.120577,0,0,0,0,0,0,0,0,0,0,0,0
1716558482.209804,0,0,0,0,0,0,0,0,0,0,0,0
1716558482.298607,0,0,0,0,0,0,0,0,0,0,0,0
1716558482.387704,0,0,0,0,0,0,0,0,0,0,0,0
1716558482.476657,0,0,0,0,0,0,0,0,0,0,0,0
1716558482.565725,0,0,0,0,0,0,0,0,0,0,0,0
1716558482.654530,0,0,0,0,0,0,0,0,0,0,0,0
1716558482.743744,0,0,0,0,0,0,0,0,0,0,0,0
1716558482.832437,0,0,0,0,0,0,0,0,0,0,0,0
1716558482.921595,0,0,0,0,0,0,0,0,0,0,0,0
1716558483.010212,0,0,0,0,0,0,0,0,0,0,0,0
1716558483.099690,0,0,0,0,0,0,0,0,0,0,0,0
1716558483.188512,0,0,0,0,0,0,0,0,0,0,0,0
1716558483.277283,0,0,0,0,0,0,0,0,0,0,0,0
1716558483.366536,0,0,0,0,0,0,0,0,0,0,0,0
1716558483.455588,0,0,0,0,0,0,0,0,0,0,0,0
1716558483.544523,0,0,0,0,0,0,0,0,0,0,0,0
1716558483.633363,0,0,0,0,0,0,0,0,0,0,0,0
1716558483.722527,0,0,0,0,0,0,0,0,0,0,0,0
1716558483.811437,0,0,0,0,0,0,0,0,0,0,0,0
1716558483.900418,0,0,0,0,0,0,0,0,0,0,0,0
1716558483.989645,0,0,0,0,0,0,0,0,0,0,0,0
1716558484.078286,0,0,0,0,0,0,0,0,0,0,0,0
1716558484.167601,0,0,0,0,0,0,0,0,0,0,0,0
1716558484.256207,0,0,0,0,0,0,0,0,0,0,0,0
1716558484.345316,0,0,0,0,0,0,0,0,0,0,0,0
1716558484.434223,0,0,0,0,0,0,0,0,0,0,0,0
1716558484.523372,0,0,0,0,0,0,0,0,0,0,0,0
1716558484.612242,0,0,0,0,0,0,0,0,0,0,0,0
1716558484.701293,0,0,0,0,0,0,0,0,0,0,0,0
1716558484.790164,0,0,0,0,0,0,0,0,0,0,0,0
1716558484.879074,0,0,0,0,0,0,0,0,0,0,0,0
1716558484.968347,0,0,0,0,0,0,0,0,0,0,0,0
1716558485.057400,0,0,0,0,0,0,0,0,0,0,0,0
1716558485.146292,0,0,0,0,0,0,0,0,0,0,0,0
1716558485.235075,0,0,0,0,0,0,0,0,0,0,0,0
1716558485.324171,0,0,0,0,0,0,0,0,0,0,0,0
1716558485.413359,0,0,0,0,0,0,0,0,0,0,0,0
1716558485.502197,0,0,0,0,0,0,0,0,0,0,0,0
1716558485.591235,0,0,0,0,0,0,0,0,0,0,0,0
1716558485.680217,0,0,0,0,0,0,0,0,0,0,0,0
1716558485.769224,0,0,0,0,0,0,0,0,0,0,0,0
1716558485.858351,0,0,0,0,0,0,0,0,0,0,0,0
1716558485.947345,0,0,0,0,0,0,0,0,0,0,0,0
1716558486.036180,0,0,0,0,0,0,0,0,0,0,0,0
